Date	Senior_Value	Token_Value	Upper_CI	Lower_CI
2024-12-11	9930869.505	0.009930869505		
2024-12-12	9941018.434	0.009941018434		
2024-12-13	9952620.608	0.009952620608		
2024-12-14	9952620.608	0.009952620608		
2024-12-15	9952620.608	0.009952620608		
2024-12-16	9965286.775	0.009965286775		
2024-12-17	9971988.979	0.009971988979		
2024-12-18	9993117.24	0.00999311724		
2024-12-19	10014418.24	0.01001441824		
2024-12-20	10014088.09	0.01001408809		
2024-12-21	10014088.09	0.01001408809		
2024-12-22	10014088.09	0.01001408809		
2024-12-23	9998216.636	0.009998216636		
2024-12-24	9990368.815	0.009990368815		
2024-12-25	9988734.276	0.009988734276		
2024-12-26	9985733.29	0.00998573329		
2024-12-27	9998837.615	0.009998837615		
2024-12-28	9998837.615	0.009998837615		
2024-12-29	9998837.615	0.009998837615		
2024-12-30	10014830.07	0.01001483007		
2024-12-31	10002044.89	0.01000204489		
2025-01-01	10000443.28	0.01000044328		
2025-01-02	9993367.236	0.009993367236		
2025-01-03	9996445.902	0.009996445902		
2025-01-04	9996445.902	0.009996445902		
2025-01-05	9996445.902	0.009996445902		
2025-01-06	9995325.708	0.009995325708		
2025-01-07	9983502.143	0.009983502143		
2025-01-08	9993735.875	0.009993735875		
2025-01-09	9992913.849	0.009992913849		
2025-01-10	10017266.27	0.01001726627		
2025-01-11	10017266.27	0.01001726627		
2025-01-12	10017266.27	0.01001726627		
2025-01-13	10009823.73	0.01000982373		
2025-01-14	10005029.72	0.01000502972		
2025-01-15	9978244.824	0.009978244824		
2025-01-16	9977156.101	0.009977156101		
2025-01-17	9959562.96	0.00995956296		
2025-01-18	9959562.96	0.00995956296		
2025-01-19	9959562.96	0.00995956296		
2025-01-20	9953921.156	0.009953921156		
2025-01-21	9951443.703	0.009951443703		
2025-01-22	9942811.569	0.009942811569		
2025-01-23	9943650.16	0.00994365016		
2025-01-24	9939333.211	0.009939333211		
2025-01-25	9939333.211	0.009939333211		
2025-01-26	9939333.211	0.009939333211		
2025-01-27	9931980.735	0.009931980735		
2025-01-28	9939157.218	0.009939157218		
2025-01-29	9935956.902	0.009935956902		
2025-01-30	9911681.576	0.009911681576		
2025-01-31	9922319.055	0.009922319055		
2025-02-01	9922319.055	0.009922319055		
2025-02-02	9922319.055	0.009922319055		
2025-02-03	9923327.01	0.00992332701		
2025-02-04	9907245.54	0.00990724554	0.009917484518	0.009897006562
2025-02-05	9915256.579	0.009915256579	0.00992973668	0.009900776478
2025-02-06	9907497.795	0.009907497795	0.009925232224	0.009889763365
2025-02-07	9890511.193	0.009890511193	0.009910989148	0.009870033237
2025-02-08	9890511.193	0.009890511193	0.009913406243	0.009867616143
2025-02-09	9890511.193	0.009890511193	0.009915591463	0.009865430922
2025-02-10	9872304.424	0.009872304424	0.009899394212	0.009845214636
2025-02-11	9870673.414	0.009870673414	0.009899633616	0.009841713212
2025-02-12	9884532.206	0.009884532206	0.009915249139	0.009853815274
2025-02-13	9870404.391	0.009870404391	0.009902782881	0.009838025901
2025-02-14	9886401.96	0.00988640196	0.009920360807	0.009852443113
2025-02-15	9886401.96	0.00988640196	0.009921870818	0.009850933101
2025-02-16	9886401.96	0.00988640196	0.009923319118	0.009849484801
2025-02-17	9878551.441	0.009878551441	0.009916862187	0.009840240695
2025-02-18	9890084.478	0.009890084478	0.009929739868	0.009850429088
2025-02-19	9887437.856	0.009887437856	0.009928393766	0.009846481945
2025-02-20	9902845.087	0.009902845087	0.009945061473	0.009860628701
2025-02-21	9917286.762	0.009917286762	0.009960727065	0.009873846459
2025-02-22	9917286.762	0.009917286762	0.009961917431	0.009872656093
2025-02-23	9917286.762	0.009917286762	0.009963076862	0.009871496662
2025-02-24	9905778.972	0.009905778972	0.009952699862	0.009858858082
2025-02-25	9940819.433	0.009940819433	0.009988844495	0.009892794372
2025-02-26	9957247.42	0.00995724742	0.01000635183	0.009908143008
2025-02-27	9958693.278	0.009958693278	0.01000885382	0.009908532737
2025-02-28	9985716.055	0.009985716055	0.01003691094	0.009934521167
2025-03-01	9985716.055	0.009985716055	0.0100379248	0.009933507309
2025-03-02	9985716.055	0.009985716055	0.01003891934	0.009932512767
2025-03-03	9998318.1	0.0099983181	0.01005249768	0.009944138523
2025-03-04	10023535.58	0.01002353558	0.01007867416	0.009968396998
2025-03-05	10022535.02	0.01002253502	0.01007861621	0.009966453834
2025-03-06	10043527.61	0.01004352761	0.01010053583	0.0099865194
2025-03-07	10044714.44	0.01004471444	0.01010263485	0.009986794039
2025-03-08	10044714.44	0.01004471444	0.01010353289	0.009985895995
2025-03-09	10044714.44	0.01004471444	0.01010441743	0.009985011458
2025-03-10	10042724.63	0.01004272463	0.01010329923	0.009982150018
2025-03-11	10050512.2	0.0100505122	0.01011194607	0.009989078335
2025-03-12	10062508.36	0.01006250836	0.01012478963	0.01000022709
2025-03-13	10047851.61	0.01004785161	0.01011096891	0.009984734315
2025-03-14	10045651.9	0.0100456519	0.01010959429	0.009981709505
2025-03-15	10045651.9	0.0100456519	0.01011040888	0.00998089492
2025-03-16	10045651.9	0.0100456519	0.01011121335	0.009980090454
2025-03-17	10043243.96	0.01004324396	0.01010960012	0.009976887803
2025-03-18	10004375.33	0.01000437533	0.0100715168	0.009937233863
2025-03-19	9988050.999	0.009988050999	0.01005596869	0.009920133305
2025-03-20	9971457.748	0.009971457748	0.0100401429	0.009902772599
2025-03-21	9961587.759	0.009961587759	0.01003103188	0.009892143635
2025-03-22	9961587.759	0.009961587759	0.01003178265	0.009891392866
2025-03-23	9961587.759	0.009961587759	0.01003252548	0.009890650042
2025-03-24	9956031.25	0.00995603125	0.01002770409	0.009884358407
2025-03-25	9960847.184	0.009960847184	0.01003324769	0.009888446679
2025-03-26	9961030.117	0.009961030117	0.01003415104	0.009887909191
2025-03-27	9992675.018	0.009992675018	0.01006650934	0.0099188407
2025-03-28	9999218.551	0.009999218551	0.01007375943	0.009924677669
