Date,Date.1,Estimated_Liabilities,Daily_Change_Pct,SCFI_Impact,CNY_Impact,ZAR_Impact,Total_Impact,Lower_CI,Upper_CI,Forecast_Volatility
2025-01-17 00:00:00+01:00,2025-01-17 00:00:00+01:00,249451680029.2985,0.2324059304052106,,,,0.2324059304052106,,,
2025-01-20 00:00:00+01:00,2025-01-20 00:00:00+01:00,251350206613.7449,0.761079895001493,,,,0.7610798950014941,,,
2025-01-21 00:00:00+01:00,2025-01-21 00:00:00+01:00,250469160538.18185,-0.3505253038908251,,,,-0.3505253038908307,,,
2025-01-22 00:00:00+01:00,2025-01-22 00:00:00+01:00,249966939831.5592,-0.20051199339014,,,,-0.2005119933901256,,,
2025-01-23 00:00:00+01:00,2025-01-23 00:00:00+01:00,251836903409.79095,0.7480843584722896,,,,0.7480843584722918,,,
2025-01-24 00:00:00+01:00,2025-01-24 00:00:00+01:00,251836903409.79095,0.0,,,,0.0,,,
2025-01-27 00:00:00+01:00,2025-01-27 00:00:00+01:00,254901713133.99905,1.2169819763154344,,,,1.2169819763154444,,,
2025-01-28 00:00:00+01:00,2025-01-28 00:00:00+01:00,254714395898.01297,-0.073486063974637,,,,-0.0734860639746282,,,
2025-01-29 00:00:00+01:00,2025-01-29 00:00:00+01:00,254362864581.8148,-0.1380099915274879,,,,-0.1380099915274901,,,
2025-01-30 00:00:00+01:00,2025-01-30 00:00:00+01:00,254714990681.2287,0.1384345548996801,,,,0.138434554899679,,,
2025-01-31 00:00:00+01:00,2025-01-31 00:00:00+01:00,255675835057.37695,0.3772233324699447,,,,0.3772233324699392,,,
2025-02-03 00:00:00,,255675835057.37695,,,,,,254597894691.70178,256753775423.05212,0.6250620014113626
2025-02-04 00:00:00,,254603230079.75778,,,,,,253529811863.00427,255676648296.5113,0.6250620014113626
2025-02-05 00:00:00,,253826846762.46283,,,,,,252756701811.31442,254896991713.61124,0.6250620014113626
2025-02-06 00:00:00,,255986564288.78558,,,,,,254907313875.24744,257065814702.32373,0.6250620014113626
2025-02-07 00:00:00,,256308253052.30643,,,,,,255227646385.0445,257388859719.56836,0.6250620014113626
2025-02-10 00:00:00,,257183000890.38763,,,,,,256098706248.45166,258267295532.3236,0.6250620014113626
2025-02-11 00:00:00,,256508790262.85568,,,,,,255427338122.05096,257590242403.6604,0.6250620014113626
2025-02-12 00:00:00,,256628720309.69284,,,,,,255546762538.62973,257710678080.75595,0.6250620014113626
2025-02-13 00:00:00,,256291647683.9118,,,,,,255211111025.60037,257372184342.22324,0.6250620014113626
